gene,GNPAT,NDUFS2,VPS45,DEDD,C8orf76,DERL1,DCAF13,SDHC,MRPL13,SLC25A44,SETDB1,YY1AP1,YWHAZ,POGK,SNAP47,B4GALT3,NUDCD1,USP21,POLR2K,ZNF7,BPNT1,APH1A,UBE2Q1,DAP3,TARS2,PRCC,PTK2,TFB2M,GGPS1,PI4KB,NUCKS1,MSTO1,NSMCE2,C8orf33,ZNF706,SNAPIN,PIGC,TAF5L,PYGO2,C1orf131,TATDN1,NSL1,EBAG9,MTDH,SLC25A32,GABPB2,VPS72,IARS2,TIPRL
GNPAT,1.0000000000000127,0.4344146107506778,0.46947814100770535,0.4370156954240424,0.09159191744307073,0.019438740331520904,0.0831940647063745,0.47819361222798523,0.10035894955183147,0.46489939165382976,0.41155535694982504,0.46272192138027834,0.09267927748117585,0.500057727793342,0.5180325357594481,0.38583851840717076,0.08007468267938397,0.3736038871996405,0.05945202548822803,-0.02396179569003845,0.5430802397012087,0.3785305243489406,0.4836056364800742,0.47705191886997395,0.36263234901431973,0.4386045836361512,0.1153458042124055,0.6396770305800623,0.6654098503228345,0.33501524970982566,0.5048161089405262,0.36746723221864874,0.017845306536072025,-0.02858734157916412,0.020633895730922586,0.49510188053016885,0.516852210088409,0.6496343204021726,0.3878759014012443,0.6937388771274605,0.09991870942744874,0.5290367653800987,0.02311030100174788,0.05166564882026807,-0.0088011140862016,0.45070817024259463,0.3481888762912162,0.5450586762141152,0.5549848658897595
NDUFS2,0.4344146107507096,1.000000000000046,0.47904074018186016,0.6595415345005213,0.15983953325153655,-0.012249454503892455,0.07975244104900533,0.7528573401262134,0.14067673397892716,0.4952209714488033,0.48079271587893607,0.5215945914528074,0.007932478660164693,0.3652939655896754,0.4422421554356819,0.7225772865151043,0.028328281376873946,0.6351789648762597,0.014825684940789778,-0.021258387983719047,0.38602511581981097,0.4886457497766634,0.5567354427508009,0.6500247715651715,0.6357736717864105,0.601692635491651,-0.014628804589404604,0.4891425699737033,0.3801824127007876,0.49776986070917395,0.24681550270599434,0.5549932450347078,0.009950175122137236,0.024115220168383543,0.02330441455145711,0.5669464557069942,0.4328809700711829,0.35003781003276635,0.5570507350916462,0.4325095095943127,0.09777517263129987,0.21255050283656868,-0.0208427302064578,-0.0309491602892063,-0.06677360942800332,0.3963587711171807,0.4861351490513762,0.4086683300732696,0.416777192021114
VPS45,0.46947814100775653,0.4790407401818805,1.0000000000000586,0.48832540357637333,0.03316156059695166,-0.09498659982044072,0.006204239167019593,0.47606600508271807,0.015607169386601644,0.49741509937268397,0.6626625873800178,0.521800931875471,0.02267730412921737,0.5080645841398257,0.281585837995988,0.4369188072585497,0.032257801469427305,0.5079762882513216,0.013957053843831918,-0.01904080309308742,0.33962402749744797,0.6247197437690079,0.5146758547029322,0.4272972805040497,0.6245809613150934,0.499229094544527,0.011827676293846429,0.32268054573697114,0.4122821287639557,0.5732624017511484,0.3758140488548729,0.46600143686049456,-0.0313711555211626,-0.09676829236582493,-0.002362259513277093,0.5813438791310549,0.43782370195047066,0.32000284244338545,0.5304746107171638,0.4131088770404149,0.041349497217522624,0.3234518907801348,-0.037364403014615244,-0.021217014014815738,-0.0957845602367742,0.6115670544080685,0.5377301766006115,0.26181417912340854,0.4784706644055959
DEDD,0.4370156954239544,0.6595415345004009,0.48832540357624177,0.999999999999927,0.24769725780870006,0.05550532706249264,0.19036600558357264,0.5924912564558658,0.1468140586832593,0.4223709764091094,0.5860533681124679,0.5591754842398248,0.1581022068216673,0.5355747555211317,0.3462688793939106,0.7334442634320482,0.19373734318973684,0.6750957256784345,0.10015010630391338,0.08067104350622842,0.3426222820759748,0.529085181101442,0.7170208582033291,0.6093791198592812,0.44515303404858964,0.6712256362300884,0.078652609508284,0.36087288641460735,0.27811003707870546,0.5010882619418023,0.29317078858155915,0.6495108846273082,0.12702790626461255,0.031939601834525544,0.1681698714650084,0.5119884129086396,0.513245462696239,0.4403085631355289,0.6127502734828404,0.48037500844340375,0.21514405747388354,0.169380977209074,-0.016494683852890518,0.015176107260122751,0.10790732187567904,0.38426164211306574,0.6404456163693147,0.175837598023958,0.5448625257604323
C8orf76,0.09159191744305535,0.15983953325150163,0.033161560596907655,0.2476972578087338,0.9999999999999947,0.7929606016486614,0.7560645488562378,0.2205690875204463,0.8198592663852254,0.0733807793966559,0.06506086413201385,-0.10556773629236155,0.6843786135093509,0.09905439000811779,0.04800260027901178,0.15192035255766367,0.7037896216698186,-0.015386153671463537,0.7095237519143295,0.5478782419139454,0.12250375796112253,0.1744059101516658,0.3126073395938227,0.3118271304482714,0.018492057301657913,0.1711770815071583,0.5241908020895512,0.22965589943884043,0.019988303030423135,0.019156482203574673,0.05521064880934194,0.14369239216596608,0.7050200812583526,0.6027965661999573,0.7127426512434589,0.02812571528848655,0.10216086959042103,0.134400885797142,0.0063966523873592585,0.24994064941085264,0.7132992678508674,-0.13894678965028834,0.6218264151107954,0.58833294766538,0.6214320421515146,-0.06691239501680854,0.2582130167132954,0.1271332907740071,0.26190632857249996
DERL1,0.019438740331513167,-0.012249454503928517,-0.09498659982049143,0.05550532706255696,0.7929606016486702,1.000000000000001,0.725112736784859,0.1608583166120266,0.7679166292455913,0.07019970300369974,-0.02507950160342662,-0.19368348176892058,0.7313802357199691,0.10970841654498278,-0.1050435539735416,-0.012506763907123276,0.7218657533032621,-0.20484605723939736,0.6588230315834159,0.5292766157010786,0.07352843820683176,0.05812565250289025,0.12785451552884936,0.168032635507458,-0.11817069444492488,-0.09378332311409768,0.646791423622112,0.159396297725664,-0.007374445072257728,-0.1503926584580384,0.12502278892634539,-0.03763973043180571,0.6663896229268741,0.5909581321534455,0.6144408972255258,-0.15884096386021157,-0.0238727221436439,0.10706116185547201,-0.13450322429555014,0.07548074074154976,0.674892057150115,-0.08839595888559967,0.6781093731422286,0.7377838163416488,0.6975024131922778,-0.07653065968623667,-0.018162385794521833,0.18296881991895883,0.2363032937166656
DCAF13,0.08319406470635796,0.07975244104896728,0.006204239166972381,0.190366005583609,0.7560645488562374,0.7251127367848502,0.9999999999999953,0.21567144355347315,0.7678839721345133,0.06571379101578434,0.07748391111541114,-0.12419576197515952,0.7957638684188237,0.1923776476127398,-0.029240870854613327,0.055044538675929205,0.8316907243562089,-0.06483289722052263,0.7798423379823203,0.5509105249141277,0.11903363223339683,0.12476144431884278,0.2577739159132905,0.3365409938828541,-0.042056348205198074,0.07008608035638217,0.5941742705495638,0.2655194946136206,-0.015771829551593425,-0.06666600158704461,0.13384331801996,0.12039645570110089,0.6815475924495261,0.63949624415535,0.7405361202415652,-0.09008885828554253,0.04628967872656134,0.1491301844097433,-0.07170287206562898,0.20572994050182603,0.756996910401605,-0.11974083748909231,0.6584713513849519,0.7042524251442724,0.8265580065524001,-0.09958632144750319,0.19605509463329565,0.1632702997421217,0.3337203928167852
SDHC,0.4781936122279662,0.7528573401261617,0.4760660050826482,0.5924912564559377,0.22056908752045232,0.16085831661202107,0.21567144355348133,0.9999999999999951,0.2604794765821564,0.5662408161476217,0.4476102506728749,0.46624451008214246,0.18952489484333454,0.46202706137717947,0.354691748583255,0.5921241682573815,0.19108026438163334,0.48474385037946033,0.18942258712228252,0.02042619700180657,0.4079640701809283,0.47802826113887925,0.5025728285902984,0.6160137439831831,0.5173686963054971,0.44304823750327116,0.17903619500574994,0.49089868297178707,0.47207746031259495,0.34215085095876546,0.41390109680473275,0.45470407435945825,0.1494642520203654,0.10595293139736331,0.08074184045037207,0.5109150150807914,0.43597051802575737,0.38016272187104777,0.493335914682404,0.41643410913235834,0.17654875838316703,0.34718713295402415,0.15372306408489653,0.16848649837184207,0.06941701806579051,0.4453137806814401,0.35806259421635683,0.5149151945679015,0.5127947929767744
MRPL13,0.10035894955182045,0.1406767339788952,0.015607169386559691,0.14681405868329855,0.8198592663852282,0.7679166292455865,0.7678839721345152,0.2604794765821556,0.9999999999999977,0.03130427019966745,-0.009267376329644375,-0.1276222440639181,0.649454482282952,0.04728008569067406,0.036694743043416286,0.08305801961351092,0.6802773509942849,-0.06288832332953627,0.7606661229164907,0.5163019854776778,0.1437088024675777,0.17214524271468107,0.18884509246208325,0.3133173803293418,-0.01061645843742437,0.09139822246399133,0.5470707625138712,0.2573697071925053,0.07312816328788214,-0.08816505407993935,0.08776515811316363,0.08043967604830057,0.7407932359177172,0.6343673028295099,0.6765258209005524,0.019565387799524908,0.05491942300580606,0.07908829202572722,-0.0492279369501978,0.19602512322120638,0.7203635616194599,-0.07683912670117046,0.6635194436192846,0.5757977014675347,0.5911812556320568,-0.12268774189361625,0.18922444106171676,0.1640821259477473,0.23844503658943528
SLC25A44,0.46489939165387684,0.4952209714488145,0.4974150993726709,0.4223709764092516,0.07338077939670068,0.07019970300374695,0.06571379101583225,0.5662408161476901,0.031304270199708106,1.0000000000000684,0.49243857921025813,0.6320012742734743,0.11016778987568321,0.5564562244197128,0.40276801028431836,0.41970994978714155,0.14902360800456346,0.3787676602724427,-0.009497139855495829,0.02787230260689416,0.42546408535439173,0.4576280275650969,0.5129333146902115,0.4998322074094501,0.47894914167930147,0.5245243166904343,0.1545909915033774,0.4951785854339528,0.3696308166161831,0.5057339668205725,0.43739257469140347,0.4700279643092623,-0.08304425313417824,0.05762970075632834,-0.0632535050165342,0.4829709057407949,0.3914930773462304,0.5086716387299143,0.45951576456938226,0.4307228794653893,-0.02243420949542918,0.36115578463686493,-0.018499467306104356,0.1563327868882315,0.03670154518994301,0.4730266656715928,0.29365684684401516,0.5511570606416822,0.4857254734663789
SETDB1,0.4115553569497581,0.48079271587883765,0.6626625873799071,0.5860533681124842,0.06506086413199025,-0.025079501603475385,0.0774839111153868,0.4476102506728211,-0.009267376329672783,0.4924385792101394,0.9999999999999483,0.6391283896869192,0.07273181836167758,0.6147867400950191,0.37403304591274633,0.5002936953243615,0.16672625788366352,0.6002125622598421,-0.0683383049463297,0.14012832025827193,0.36723976223548954,0.6621010087597765,0.5849230135369481,0.5460084219229013,0.6752385592130237,0.568321221080561,0.11967974176620028,0.4350444450945943,0.2575438098893091,0.6979541191537375,0.45124434457537926,0.5456285592539238,-0.020236890116712536,0.0272719211645574,0.010929569431468555,0.4842609809895636,0.41181905824083265,0.48817451670393264,0.5788703079709452,0.4684206316454822,0.13255932810045623,0.2543551040905375,-0.06701220981206973,0.05434930345869249,0.020160756526499013,0.5968047700181696,0.6360195119048015,0.3068344807847494,0.47103703346718917
YY1AP1,0.462721921380285,0.5215945914527768,0.5218009318754202,0.5591754842399306,-0.10556773629233973,-0.19368348176890565,-0.12419576197513693,0.4662445100821705,-0.1276222440638995,0.632001274273428,0.6391283896870023,1.0000000000000238,-0.11063935554925408,0.548911551679744,0.47387432994357703,0.5360869277597329,-0.061911220769528985,0.6442010558084539,-0.1715077064336985,0.03300506118915908,0.38189441249773703,0.5145401272662267,0.5705731225624087,0.6072702383509799,0.5486293609835173,0.6634859340807183,0.00036272592801050996,0.4291374571902664,0.31498215537563,0.6153870709228291,0.41038536207195436,0.6094701386010337,-0.12380749176353784,-0.05143838912919507,-0.1243739497855404,0.5970126179106611,0.43515969240352015,0.46167847164472364,0.6454195765382247,0.37921242438086605,-0.029964604359814517,0.31719724716274733,-0.13834697203203533,-0.09673719095380795,-0.14580197519777138,0.5287952316546853,0.4759916450436392,0.32662020906968814,0.4330792135436927
YWHAZ,0.09267927748121452,0.007932478660174325,0.022677304129208015,0.15810220682178125,0.6843786135093869,0.731380235720009,0.795763868418861,0.18952489484339013,0.6494544822829859,0.11016778987568351,0.07273181836177167,-0.11063935554921456,1.0000000000000442,0.22851388801161707,-0.11152754141497187,-0.013836355660463123,0.768824576806256,-0.14940334867071403,0.7723162208216297,0.4900306962726238,0.0725729825149459,0.10781786501959509,0.23916093929769158,0.2625515499138402,-0.07132031433530944,-0.008658715387349025,0.613083028277996,0.17821463519466416,0.058659231533174094,-0.13123506170870375,0.2287690942091525,0.0275995844612352,0.6156754060645708,0.5546163170063444,0.7817177158320975,-0.09379957992547006,0.03853235296888988,0.1638362340453765,-0.05740113449732137,0.15952007043245736,0.6418910232584762,-0.06172996172815601,0.6254557044161213,0.7621373337714795,0.7538530958160762,-0.04919966834207645,0.08512591490612759,0.21588026384439454,0.35242495707475413
POGK,0.5000577277933407,0.3652939655896423,0.5080645841397772,0.5355747555212064,0.0990543900081303,0.10970841654498725,0.19237764761275436,0.46202706137719346,0.047280085690683094,0.5564562244196689,0.6147867400950754,0.5489115516797348,0.22851388801157968,1.0000000000000075,0.22958930534468364,0.4048642019147076,0.2965780893405878,0.4255635968781119,0.04873319831150741,0.10612406134983149,0.4126217741084697,0.4153336817297134,0.5769265073998757,0.47390771017178424,0.3802663233176967,0.4584896463310271,0.25429612558330567,0.47512972088233896,0.3375873210199319,0.4149429924413921,0.5575251674277926,0.4238639118021944,0.01118857732077988,0.034895700112016925,0.03698104101337024,0.368677396422609,0.4849864124228035,0.5919409151873894,0.44470555666256206,0.48199278103604587,0.1799601271369982,0.32175580019943006,0.0057121357118105065,0.22941185921130736,0.20297131056926013,0.5050002489447017,0.41861989800532895,0.39428251304763495,0.7183323675113903
SNAP47,0.5180325357594103,0.44224215543561224,0.28158583799590575,0.3462688793939507,0.04800260027900493,-0.10504355397356596,-0.029240870854621515,0.3546917485832301,0.03669474304340538,0.40276801028423337,0.37403304591277126,0.4738743299435283,-0.11152754141504065,0.22958930534465324,0.9999999999999747,0.45286208038704723,-0.04986142189996741,0.473825274261686,-0.08001252997581668,0.07510314406077037,0.493754538037927,0.4868256070883279,0.3289788388594936,0.35015683590008767,0.42082490918498083,0.5753136278774774,-0.00787770964118617,0.5012165546534154,0.3604541894071265,0.5253862913694312,0.28780290464193387,0.4451439190514071,-0.03294987457883828,0.11048795297610112,-0.05496765479757833,0.41837507426099074,0.2914554105895557,0.5427923525640377,0.41066117114126843,0.5007082064625955,-0.017352073068076176,0.32868518218988696,-0.08948038286889848,-0.08537746137052976,-0.16288633115501136,0.3133219270548791,0.46018657452781253,0.39506249506552404,0.2256059190293192
B4GALT3,0.38583851840721545,0.7225772865151249,0.4369188072585532,0.7334442634321577,0.1519203525577014,-0.012506763907079221,0.05504453867596795,0.5921241682574421,0.0830580196135469,0.41970994978715487,0.5002936953244542,0.536086927759778,-0.013836355660452673,0.40486420191474853,0.45286208038711645,1.0000000000000404,0.04267722348474626,0.7096769924483453,-0.029430874290400533,-0.007957436935144682,0.3977516927861547,0.5626667775977426,0.6127696422516584,0.5646452242567569,0.4995454076501159,0.6441723359476317,-0.00559778022696103,0.4246905330668403,0.31411635787423725,0.5689554294315708,0.22352922580414591,0.5835566421810754,-0.033896463118964375,-0.0027824164258316297,0.0538498929751952,0.4643830216463374,0.4360348647048627,0.3995367666010495,0.5717128135077237,0.4015478614967662,0.07389741292604404,0.14223651502231358,-0.1401912198183238,-0.07947603583785685,-0.04721711000857558,0.37993857028360245,0.5757479935584201,0.20124535774646288,0.41536621453209427
NUDCD1,0.08007468267936968,0.02832828137684129,0.03225780146938545,0.19373734318976885,0.7037896216698181,0.7218657533032538,0.8316907243562082,0.19108026438162612,0.6802773509942825,0.14902360800452052,0.16672625788368634,-0.061911220769550135,0.7688245768062234,0.29657808934057683,-0.04986142189996062,0.042677223484712756,0.9999999999999953,-0.09022659930191451,0.6291836979522337,0.5620854068716561,0.19382298836227077,0.1264272598409802,0.2448716706855225,0.27755446785081206,-0.05915770424862732,0.028297006586289197,0.6568509272072545,0.3110879562181832,-0.05741472199793152,-0.010929570843454028,0.2523263638346067,0.0772960818838293,0.5547215175400968,0.6059163024615398,0.5899788939913355,-0.1534720201626908,-0.006901352953230466,0.28223344066798106,-0.14301365359779383,0.2303555270649123,0.6912479603671184,-0.06780391261500934,0.6079907178942516,0.7611552461789328,0.807392463940918,-0.008613152635008475,0.13983822680001873,0.26047583485136105,0.395737209925499
USP21,0.3736038871995977,0.6351789648761929,0.5079762882512442,0.6750957256784582,-0.01538615367147525,-0.2048460572394262,-0.06483289722053442,0.4847438503794307,-0.06288832332955105,0.37876766027235986,0.6002125622598546,0.6442010558084019,-0.14940334867078006,0.42556359687807843,0.4738252742616782,0.7096769924482808,-0.09022659930192652,0.9999999999999758,-0.09292986242537327,0.05646570780687854,0.3638846624285349,0.5210544028696789,0.49998675412639704,0.5158751502733356,0.5784017076717822,0.6542262542432207,-0.034611476064546315,0.3529546880331341,0.3590955908872524,0.5489569439385296,0.2923597556975597,0.5952477725291223,-0.05002019968634046,-0.026394135955751158,-0.02552824568071002,0.5288124714228031,0.45977837264933125,0.3227979426962719,0.6744718575001847,0.42362893080630004,-0.002495338506203329,0.3187598182746588,-0.10857912077057476,-0.19854838475651262,-0.17918394707877483,0.46386235484486804,0.5365188301985269,0.19772173220800957,0.3118005658240267
POLR2K,0.05945202548823858,0.014825684940779377,0.013957053843806355,0.10015010630398144,0.709523751914346,0.6588230315834306,0.7798423379823376,0.1894225871223048,0.760666122916504,-0.009497139855516118,-0.06833830494627437,-0.17150770643369048,0.7723162208216129,0.04873319831151801,-0.08001252997578168,-0.02943087429042371,0.6291836979522485,-0.09292986242533749,1.0000000000000122,0.5033949706799368,0.05693261333047475,0.062297949593140195,0.16956690797185334,0.2524559299312802,-0.06800050090190281,-0.0023256548921692655,0.5068947835720081,0.14335272723398995,0.09202139583296418,-0.21969467556239025,0.09108410342418802,0.0072965414557358,0.7413065639137795,0.5872103235161942,0.7906252014419609,-0.025269196334927302,0.08551978113560627,-0.01855076268873765,-0.03542448663669889,0.15879516443382208,0.6381390750934047,-0.01546406814427373,0.6915379216675516,0.6020956897525795,0.6380713275457867,-0.15073781547480522,0.1208104674127338,0.10204916165200917,0.2094429556726482
ZNF7,-0.023961795690113308,-0.021258387983817517,-0.01904080309319245,0.08067104350621579,0.5478782419139138,0.5292766157010235,0.550910524914095,0.02042619700174103,0.5163019854776432,0.02787230260677831,0.14012832025824906,0.03300506118906965,0.4900306962725318,0.10612406134976676,0.07510314406072949,-0.007957436935231543,0.5620854068716268,0.05646570780684951,0.503394970679879,0.999999999999954,0.0751282896998054,0.11316171412483822,0.10044900836095266,0.13712686924541972,0.007078697980851589,0.07863447746399466,0.7302422055119311,0.1448537014245801,-0.07104312681912656,0.02550287133216811,0.06908714943936911,0.07945486259376466,0.5596993629595174,0.7980182447629793,0.5083752254873136,-0.1094739720093797,-0.046019258364842,0.09484385223862496,0.020499112272847286,0.09570166375303457,0.5470491060614281,-0.12223794139433869,0.5159644656940818,0.5249082293689863,0.49498411944311954,-0.03838066314965824,0.09248730794762483,0.1000762700683624,0.05595164142935377
BPNT1,0.5430802397011871,0.38602511581976107,0.3396240274973845,0.3426222820760255,0.12250375796112253,0.07352843820682087,0.11903363223339719,0.4079640701809198,0.1437088024675748,0.4254640853543286,0.3672397622355247,0.3818944124977064,0.07257298251489452,0.4126217741084522,0.4937545380379388,0.39775169278610034,0.19382298836227144,0.3638846624285537,0.056932613330450604,0.07512828969985202,0.99999999999999,0.33566530062269917,0.3328000948920141,0.41865400830465854,0.30043147172705315,0.3475981439008504,0.16154917056146378,0.6094986030923158,0.4672912396514757,0.3153929448806979,0.3908080604416206,0.3113355639516778,-0.0025193881992957856,0.05645101042538786,-0.024086759433474825,0.2803188306731555,0.2815148137645316,0.5771110999900035,0.27453560966520546,0.5498315119788572,0.1193850590750935,0.45581794141802523,0.0464693585747869,0.13583079675301962,0.07037146271166611,0.3761320046241326,0.27406866221752285,0.625950195770858,0.40544877305983734
APH1A,0.3785305243489427,0.48864574977662845,0.6247197437689502,0.5290851811015447,0.17440591015168605,0.05812565250290095,0.12476144431886432,0.47802826113890096,0.17214524271469622,0.45762802756504395,0.6621010087598559,0.5145401272662207,0.10781786501955234,0.41533368172971885,0.4868256070883746,0.5626667775976928,0.1264272598409999,0.5210544028697283,0.062297949593130925,0.11316171412492641,0.33566530062272754,1.0000000000000184,0.5317228464349089,0.5364052246289277,0.6306884429746269,0.6376669348556667,0.09843235901971095,0.4019286146188271,0.2553143838116174,0.6775518525984228,0.30158201390909223,0.5179370893805186,0.08839807113801143,0.1588282130878781,0.13482388168553364,0.5436030716139508,0.41987613978909427,0.4061875479245193,0.5161890817187877,0.3885831188850055,0.15843649583760205,0.13404676023981088,-0.013044911207412389,0.042422365623887126,0.041173520910712975,0.4441584217847453,0.7199802418482781,0.25694498730263426,0.39393705280730534
UBE2Q1,0.48360563648006616,0.5567354427507551,0.5146758547028661,0.7170208582034217,0.312607339593837,0.12785451552885257,0.257773915913305,0.5025728285903113,0.18884509246209258,0.512933314690148,0.5849230135370185,0.5705731225623922,0.2391609392976418,0.5769265073998716,0.32897883885953055,0.6127696422516005,0.24487167068553567,0.49998675412643867,0.169566907971836,0.10044900836103328,0.33280009489203244,0.531722846434897,1.0000000000000073,0.6627258154031395,0.47836925474957664,0.6945233141285028,0.1383627503501896,0.41215879203926137,0.271458783040075,0.5252993790310592,0.3412412470251753,0.6045016042689859,0.1537741820474545,0.10590392142660454,0.24323455973676092,0.5392450133701057,0.546175273022264,0.44847206782684446,0.6088968021928695,0.5290607619350509,0.2519244258983362,0.1423665849634247,0.05959521593839334,0.08912050759818674,0.18225573236060838,0.3870084563281032,0.6851669777870895,0.23655665018062824,0.6118473476098328
DAP3,0.4770519188699017,0.6500247715650649,0.4272972805039281,0.6093791198593034,0.31182713044824667,0.16803263550740763,0.3365409938828284,0.6160137439831285,0.3133173803293132,0.49983220740932055,0.5460084219229064,0.6072702383508907,0.2625515499137363,0.4739077101717239,0.3501568359000642,0.5646452242566565,0.2775544678507895,0.5158751502733252,0.2524559299312201,0.137126869245449,0.4186540083046224,0.5364052246288424,0.6627258154030657,0.9999999999999378,0.5303385835045709,0.6083381036845472,0.16866794334625848,0.5670009133577991,0.3612907581639431,0.4281642314940596,0.3405999709520231,0.6144739668364575,0.22445948988419828,0.185077717872503,0.27710972664927813,0.5595010448113762,0.45984370182984974,0.4236290467103402,0.5241113401017136,0.5048375751572383,0.37477977289961584,0.18946439410914295,0.14884792438702954,0.15435884809673844,0.19181445983273124,0.34863539660932086,0.5609794833824577,0.37373942932051185,0.5418208555692642
