,0,1,start,end,cor,pvalue
49,5,15,DCAF13,NUDCD1,0.8372478983115662,3.675564203038434e-291
50,15,5,NUDCD1,DCAF13,0.8372478983115662,3.675564203038434e-291
51,3,7,C8orf76,MRPL13,0.8316028014859568,9.799737103610823e-284
52,7,3,MRPL13,C8orf76,0.8316028014859568,9.799737103610823e-284
53,5,43,DCAF13,SLC25A32,0.8073836392391779,9.421940984935262e-255
54,43,5,SLC25A32,DCAF13,0.8073836392391779,9.421940984935262e-255
55,5,11,DCAF13,YWHAZ,0.8030924675462303,4.7888381810262984e-250
56,11,5,YWHAZ,DCAF13,0.8030924675462303,4.7888381810262984e-250
57,15,43,NUDCD1,SLC25A32,0.800646334624225,2.0469074542869773e-247
58,43,15,SLC25A32,NUDCD1,0.800646334624225,2.0469074542869773e-247
59,17,33,POLR2K,ZNF706,0.7935552022669121,5.429271633822373e-240
60,33,17,ZNF706,POLR2K,0.7935552022669121,5.429271633822373e-240
61,7,17,MRPL13,POLR2K,0.7927870955187978,3.3215525134025634e-239
62,17,7,POLR2K,MRPL13,0.7927870955187978,3.3215525134025634e-239
63,45,24,VPS72,PRCC,0.7882549865545377,1.2460550344072007e-234
64,24,45,PRCC,VPS72,0.7882549865545377,1.2460550344072007e-234
65,11,15,YWHAZ,NUDCD1,0.7846060352362478,4.981589869010951e-231
66,15,11,NUDCD1,YWHAZ,0.7846060352362478,4.981589869010951e-231
67,7,5,MRPL13,DCAF13,0.7840468189478471,1.7504416053907987e-230
68,5,7,DCAF13,MRPL13,0.7840468189478471,1.7504416053907987e-230
69,5,17,DCAF13,POLR2K,0.7829357812802393,2.1021691437301935e-229
70,17,5,POLR2K,DCAF13,0.7829357812802393,2.1021691437301935e-229
71,4,3,DERL1,C8orf76,0.7789128978864268,1.5089520935014224e-225
72,3,4,C8orf76,DERL1,0.7789128978864268,1.5089520935014224e-225
73,32,18,C8orf33,ZNF7,0.7768767452265324,1.2575341326490535e-223
74,18,32,ZNF7,C8orf33,0.7768767452265324,1.2575341326490535e-223
75,11,33,YWHAZ,ZNF706,0.7739666046054596,6.453725074568299e-221
76,33,11,ZNF706,YWHAZ,0.7739666046054596,6.453725074568299e-221
77,17,11,POLR2K,YWHAZ,0.7712254601857629,2.117524855082056e-218
78,11,17,YWHAZ,POLR2K,0.7712254601857629,2.117524855082056e-218
79,4,7,DERL1,MRPL13,0.7656399658264568,2.2149882792529117e-213
80,7,4,MRPL13,DERL1,0.7656399658264568,2.2149882792529117e-213
81,42,15,MTDH,NUDCD1,0.7644069566450371,2.720075849801729e-212
82,15,42,NUDCD1,MTDH,0.7644069566450371,2.720075849801729e-212
83,5,3,DCAF13,C8orf76,0.7625644768158378,1.1214287439577887e-210
84,3,5,C8orf76,DCAF13,0.7625644768158378,1.1214287439577887e-210
85,17,31,POLR2K,NSMCE2,0.7593716749478463,6.517806455759303e-208
86,31,17,NSMCE2,POLR2K,0.7593716749478463,6.517806455759303e-208
87,31,7,NSMCE2,MRPL13,0.7586957095465071,2.476342357584112e-207
88,7,31,MRPL13,NSMCE2,0.7586957095465071,2.476342357584112e-207
89,4,11,DERL1,YWHAZ,0.7556048315222074,1.0479513055395959e-204
90,11,4,YWHAZ,DERL1,0.7556048315222074,1.0479513055395959e-204
91,5,39,DCAF13,TATDN1,0.7511598873811067,5.362479674755448e-201
92,39,5,TATDN1,DCAF13,0.7511598873811067,5.362479674755448e-201
93,6,0,SDHC,NDUFS2,0.751018093288998,7.020812829638682e-201
94,0,6,NDUFS2,SDHC,0.751018093288998,7.020812829638682e-201
95,11,42,YWHAZ,MTDH,0.7501713211451945,3.496052583292406e-200
96,42,11,MTDH,YWHAZ,0.7501713211451945,3.496052583292406e-200
97,11,43,YWHAZ,SLC25A32,0.7401810677294327,3.6494901219351475e-192
98,43,11,SLC25A32,YWHAZ,0.7401810677294327,3.6494901219351475e-192
99,21,2,UBE2Q1,DEDD,0.7392269115630108,2.0357555170076864e-191
100,2,21,DEDD,UBE2Q1,0.7392269115630108,2.0357555170076864e-191
101,17,3,POLR2K,C8orf76,0.7368603699588463,1.3999977942145756e-189
102,3,17,C8orf76,POLR2K,0.7368603699588463,1.3999977942145756e-189
103,5,4,DCAF13,DERL1,0.7359665143028586,6.838405431126299e-189
104,4,5,DERL1,DCAF13,0.7359665143028586,6.838405431126299e-189
105,42,43,MTDH,SLC25A32,0.7350112289631463,3.698459538571367e-188
106,43,42,SLC25A32,MTDH,0.7350112289631463,3.698459538571367e-188
107,33,5,ZNF706,DCAF13,0.7331977904655564,8.930610355017045e-187
108,5,33,DCAF13,ZNF706,0.7331977904655564,8.930610355017045e-187
109,15,4,NUDCD1,DERL1,0.7316423238076301,1.3427689984537284e-185
110,4,15,DERL1,NUDCD1,0.7316423238076301,1.3427689984537284e-185
111,4,42,DERL1,MTDH,0.7312717848010428,2.5538434903545423e-185
112,42,4,MTDH,DERL1,0.7312717848010428,2.5538434903545423e-185
113,31,39,NSMCE2,TATDN1,0.7279931228083394,7.2017657014641735e-183
114,39,31,TATDN1,NSMCE2,0.7279931228083394,7.2017657014641735e-183
115,39,7,TATDN1,MRPL13,0.7255627768309865,4.4737884887080615e-181
116,7,39,MRPL13,TATDN1,0.7255627768309865,4.4737884887080615e-181
117,33,3,ZNF706,C8orf76,0.7213873708761751,4.861561909597442e-178
118,3,33,C8orf76,ZNF706,0.7213873708761751,4.861561909597442e-178
119,14,2,B4GALT3,DEDD,0.718650802092414,4.432289992294821e-176
120,2,14,DEDD,B4GALT3,0.718650802092414,4.432289992294821e-176
121,25,32,PTK2,C8orf33,0.7167386125322617,1.0052272913336227e-174
122,32,25,C8orf33,PTK2,0.7167386125322617,1.0052272913336227e-174
123,11,3,YWHAZ,C8orf76,0.711866950185325,2.545240858299807e-171
124,3,11,C8orf76,YWHAZ,0.711866950185325,2.545240858299807e-171
125,2,24,DEDD,PRCC,0.710688732638338,1.6527665746415283e-170
126,24,2,PRCC,DEDD,0.710688732638338,1.6527665746415283e-170
127,14,0,B4GALT3,NDUFS2,0.7080324384575923,1.0840074999204142e-168
128,0,14,NDUFS2,B4GALT3,0.7080324384575923,1.0840074999204142e-168
129,15,3,NUDCD1,C8orf76,0.7074109583470367,2.8651657034465582e-168
130,3,15,C8orf76,NUDCD1,0.7074109583470367,2.8651657034465582e-168
131,25,18,PTK2,ZNF7,0.7059079216801452,2.9747348570894007e-167
132,18,25,ZNF7,PTK2,0.7059079216801452,2.9747348570894007e-167
133,30,24,MSTO1,PRCC,0.7057057249131633,4.0707452506309585e-167
134,24,30,PRCC,MSTO1,0.7057057249131633,4.0707452506309585e-167
135,20,45,APH1A,VPS72,0.7048212691410557,1.6002650229883037e-166
136,45,20,VPS72,APH1A,0.7048212691410557,1.6002650229883037e-166
137,12,47,POGK,TIPRL,0.7046864165451403,1.9708026802011176e-166
138,47,12,TIPRL,POGK,0.7046864165451403,1.9708026802011176e-166
139,33,7,ZNF706,MRPL13,0.7024176671176046,6.437533622916185e-165
140,7,33,MRPL13,ZNF706,0.7024176671176046,6.437533622916185e-165
141,21,45,UBE2Q1,VPS72,0.7014603065038216,2.775324960800103e-164
142,45,21,VPS72,UBE2Q1,0.7014603065038216,2.775324960800103e-164
143,7,15,MRPL13,NUDCD1,0.7013212160045886,3.4300446744810793e-164
144,15,7,NUDCD1,MRPL13,0.7013212160045886,3.4300446744810793e-164
145,4,43,DERL1,SLC25A32,0.7011430434391288,4.4983586133281066e-164
146,43,4,SLC25A32,DERL1,0.7011430434391288,4.4983586133281066e-164
147,17,41,POLR2K,EBAG9,0.7010216933981313,5.410085975065605e-164
148,41,17,EBAG9,POLR2K,0.7010216933981313,5.410085975065605e-164
149,46,48,IARS2,NUP133,0.6991460897971804,9.265485770224949e-163
150,48,46,NUP133,IARS2,0.6991460897971804,9.265485770224949e-163
151,24,21,PRCC,UBE2Q1,0.6984856834836244,2.5058605756904305e-162
152,21,24,UBE2Q1,PRCC,0.6984856834836244,2.5058605756904305e-162
153,3,31,C8orf76,NSMCE2,0.6971918855135428,1.7459530104208437e-161
154,31,3,NSMCE2,C8orf76,0.6971918855135428,1.7459530104208437e-161
155,5,42,DCAF13,MTDH,0.696521698182537,4.753042988251254e-161
156,42,5,MTDH,DCAF13,0.696521698182537,4.753042988251254e-161
157,39,3,TATDN1,C8orf76,0.6941524859798462,1.6029871315677061e-159
158,3,39,C8orf76,TATDN1,0.6941524859798462,1.6029871315677061e-159
159,14,16,B4GALT3,USP21,0.6936822968653487,3.2091928452448247e-159
160,16,14,USP21,B4GALT3,0.6936822968653487,3.2091928452448247e-159
161,7,11,MRPL13,YWHAZ,0.6920544734452838,3.512398596157365e-158
162,11,7,YWHAZ,MRPL13,0.6920544734452838,3.512398596157365e-158
163,15,39,NUDCD1,TATDN1,0.691387097679375,9.325213194108498e-158
164,39,15,TATDN1,NUDCD1,0.691387097679375,9.325213194108498e-158
165,48,36,NUP133,TAF5L,0.6905804538882113,3.024566364472436e-157
166,36,48,TAF5L,NUP133,0.6905804538882113,3.024566364472436e-157
167,28,10,PI4KB,YY1AP1,0.688000482697535,1.270049423460142e-155
168,10,28,YY1AP1,PI4KB,0.688000482697535,1.270049423460142e-155
169,28,9,PI4KB,SETDB1,0.6869273697832305,5.942371232632094e-155
170,9,28,SETDB1,PI4KB,0.6869273697832305,5.942371232632094e-155
171,10,24,YY1AP1,PRCC,0.684784578945065,1.2688588682324072e-153
172,24,10,PRCC,YY1AP1,0.684784578945065,1.2688588682324072e-153
173,38,36,C1orf131,TAF5L,0.6833303654555065,9.979897325998533e-153
174,36,38,TAF5L,C1orf131,0.6833303654555065,9.979897325998533e-153
175,36,26,TAF5L,TFB2M,0.6807319700158924,3.860251508708177e-151
176,26,36,TFB2M,TAF5L,0.6807319700158924,3.860251508708177e-151
177,10,37,YY1AP1,PYGO2,0.677579412617564,3.0949462964262997e-149
178,37,10,PYGO2,YY1AP1,0.677579412617564,3.0949462964262997e-149
179,9,10,SETDB1,YY1AP1,0.6767551700459984,9.650258209848194e-149
180,10,9,YY1AP1,SETDB1,0.6767551700459984,9.650258209848194e-149
181,33,31,ZNF706,NSMCE2,0.6765526452502307,1.275394487183398e-148
182,31,33,NSMCE2,ZNF706,0.6765526452502307,1.275394487183398e-148
183,31,5,NSMCE2,DCAF13,0.6760289077959871,2.6204619619355727e-148
184,5,31,DCAF13,NSMCE2,0.6760289077959871,2.6204619619355727e-148
185,24,16,PRCC,USP21,0.6751510214800713,8.732256959983582e-148
186,16,24,USP21,PRCC,0.6751510214800713,8.732256959983582e-148
187,17,4,POLR2K,DERL1,0.6725621710846813,2.966002772837893e-146
188,4,17,DERL1,POLR2K,0.6725621710846813,2.966002772837893e-146
189,15,25,NUDCD1,PTK2,0.6721654885628112,5.07448306728588e-146
190,25,15,PTK2,NUDCD1,0.6721654885628112,5.07448306728588e-146
191,24,20,PRCC,APH1A,0.6714958655538652,1.2538812211941625e-145
192,20,24,APH1A,PRCC,0.6714958655538652,1.2538812211941625e-145
193,22,21,DAP3,UBE2Q1,0.6707954292963383,3.2217691615322426e-145
194,21,22,UBE2Q1,DAP3,0.6707954292963383,3.2217691615322426e-145
195,37,16,PYGO2,USP21,0.6671088974749699,4.433199583183839e-143
196,16,37,USP21,PYGO2,0.6671088974749699,4.433199583183839e-143
197,2,30,DEDD,MSTO1,0.6666705916504054,7.924002700377725e-143
198,30,2,MSTO1,DEDD,0.6666705916504054,7.924002700377725e-143
199,2,16,DEDD,USP21,0.6665841701048825,8.884355568171723e-143
200,16,2,USP21,DEDD,0.6665841701048825,8.884355568171723e-143
201,25,42,PTK2,MTDH,0.665156847367929,5.8444321440691444e-142
202,42,25,MTDH,PTK2,0.665156847367929,5.8444321440691444e-142
203,16,10,USP21,YY1AP1,0.6651085229605445,6.228187465552063e-142
204,10,16,YY1AP1,USP21,0.6651085229605445,6.228187465552063e-142
205,24,37,PRCC,PYGO2,0.6645024561993997,1.3813820237097182e-141
206,37,24,PYGO2,PRCC,0.6645024561993997,1.3813820237097182e-141
207,9,23,SETDB1,TARS2,0.662828128848601,1.2354699250250042e-140
208,23,9,TARS2,SETDB1,0.662828128848601,1.2354699250250042e-140
209,45,2,VPS72,DEDD,0.6625841235002401,1.6981892862623447e-140
210,2,45,DEDD,VPS72,0.6625841235002401,1.6981892862623447e-140
211,1,9,VPS45,SETDB1,0.6605743950063255,2.3064344145435406e-139
212,9,1,SETDB1,VPS45,0.6605743950063255,2.3064344145435406e-139
213,28,20,PI4KB,APH1A,0.6583919958417239,3.831297472380306e-138
214,20,28,APH1A,PI4KB,0.6583919958417239,3.831297472380306e-138
215,28,24,PI4KB,PRCC,0.6583521902112145,4.031906347566968e-138
216,24,28,PRCC,PI4KB,0.6583521902112145,4.031906347566968e-138
217,22,0,DAP3,NDUFS2,0.6567838720247028,2.9929187627308076e-137
218,0,22,NDUFS2,DAP3,0.6567838720247028,2.9929187627308076e-137
219,23,0,TARS2,NDUFS2,0.6567698817378185,3.0467549798198755e-137
220,0,23,NDUFS2,TARS2,0.6567698817378185,3.0467549798198755e-137
221,39,17,TATDN1,POLR2K,0.6567191798006462,3.2500786588390254e-137
222,17,39,POLR2K,TATDN1,0.6567191798006462,3.2500786588390254e-137
223,7,32,MRPL13,C8orf33,0.6560653426887723,7.46815114191576e-137
224,32,7,C8orf33,MRPL13,0.6560653426887723,7.46815114191576e-137
225,39,4,TATDN1,DERL1,0.6559863337015732,8.256831186888354e-137
226,4,39,DERL1,TATDN1,0.6559863337015732,8.256831186888354e-137
227,23,28,TARS2,PI4KB,0.6551882835499312,2.2723353034647173e-136
228,28,23,PI4KB,TARS2,0.6551882835499312,2.2723353034647173e-136
229,24,14,PRCC,B4GALT3,0.6534234596232708,2.1086500706476795e-135
230,14,24,B4GALT3,PRCC,0.6534234596232708,2.1086500706476795e-135
231,37,34,PYGO2,SNAPIN,0.6532649595783273,2.5738394386116352e-135
232,34,37,SNAPIN,PYGO2,0.6532649595783273,2.5738394386116352e-135
233,7,41,MRPL13,EBAG9,0.6514144878634232,2.6152281793206733e-134
234,41,7,EBAG9,MRPL13,0.6514144878634232,2.6152281793206733e-134
235,11,39,YWHAZ,TATDN1,0.6504595928723822,8.597143068991554e-134
236,39,11,TATDN1,YWHAZ,0.6504595928723822,8.597143068991554e-134
237,9,20,SETDB1,APH1A,0.6486859212065965,7.752217965835687e-133
238,20,9,APH1A,SETDB1,0.6486859212065965,7.752217965835687e-133
239,46,26,IARS2,TFB2M,0.6484839297821681,9.949178997899766e-133
240,26,46,TFB2M,IARS2,0.6484839297821681,9.949178997899766e-133
